Species;Assembled genome size (Mbp);Assembled rate (%);Gene No.;Scaffolds N50 (kbp);GC (%);Repetitive DNA (%);Reference
Amoebophrya sp. ex Karlodinium veneficum;130;94.62;41936;21;>?58;;Bachvaroff 2019 [9]
Amoebophrya ceratii AT5.2;87.7;75.86;19925;83.9;55.9;23.8;John et al. 2019 [10]
Amoebophrya ceratii A120;115.5;92.21;26441;9,243;51.2;13.1;Farhat et al. 2021 [11]
Amoebophrya ceratii A25;116;97.8;28091;1,082;47.8;;Farhat et al. 2021 [11]
Amphidinium gibbosum;6300;98.44;85139;166.4;47.1;29.9;Beedessee et al. 2020 [12]
Breviolum minutum;616;41.07;41925;126.2;43.6;;Shoguchi et al. 2013 [13]
Cladocopium goreaui (original);1030;85.55;35913;98;44.8;;Liu et al. 2018 [14]
Cladocopium goreaui (improved);1200;;45322;354;44.4;36.5;Chen et al. 2022 [15]
Cladocopium spp.;704.8;;65832;;43;;Shoguchi et al. 2021 [16]
Durusdinium trenchii;670;;30054;97.5;47.4;;Shoguchi et al. 2021 [16]
Effrenium voratum RCC1521;1200;85.71;32108;720;50.8;;Shah et al. 2024 [17]
Effrenium voratum CCMP3420;1300;;39878;252;50.6;;Shah et al. 2024 [17]
Effrenium voratum CCMP421;1100;57.89;32615;304;50.9;;Shah et al. 2024 [17]
Fugacium kawagutii CCMP2468;935;79.24;36850;381;;;Lin et al. 2015 [18]
Fugacium kawagutii CCMP2468;937;79.41;45192;13,533.5;;;Li et al. 2020 [19]
Fugacium kawagutii CCMP2468;1050;88.98;26609;268.8;;16;Liu et al. 2018 [14]
Hematodinium sp.a;4769;;29510;17,235;;;Gornik et al. 2015 [20]
Polarella glacialis CCMP1383;2980;;58232;170.3;45.91;68;Stephens et al. 2020 [21]
Polarella glacialis CCMP2088;2760;;51713;129.2;46.15;68;Stephens et al. 2020 [21]
Prorocentrum cordatum;4750;87.37;85849;349.2;59.7;;Dougan et al. 2023 [22]
Symbiodinium linucheae CCMP2456;695;75.96;;58.1;50.36;;González-Pech et al. 2021 [23]
Symbiodinium microadriacticum CCMP2467;808;73.45;49109;573.5;50.5;34.8;Aranda et al. 2016 [24]
Symbiodinium microadriacticum CassKB8;813;72.65;;43;51.91;;González-Pech et al. 2021 [23]
Symbiodinium microadriaticum 04-503SCI.03;775;73.62;;50;50.46;27.9;González-Pech et al. 2021 [23]
Symbiodinium natans CCMP2548;762;100;;610.5;51.79;;González-Pech et al. 2021 [23]
Symbiodinium necroappetens CCMP2469;768;76.26;;11.4;50.85;;González-Pech et al. 2021 [23]
Symbiodinium pilosum CCMP2461;1089;54.64;;62.4;48.21;;González-Pech et al. 2021 [23]
Symbiodinium spp. clade C;767;;69018;;50;;Shoguchi et al., 2018 [25]
Symbiodinium spp. clade A;705;;65832;;43;;Shoguchi et al., 2018 [25]
Symbiodinium tridacnidorum CCMP2592;1103;85.71;;651.3;51.01;;González-Pech et al. 2021 [23]
